科室,排名,医院名称
口腔科,7,天津市安定医院（天津市精神卫生中心
口腔科,8,天津市口腔医院
口腔科,9,河北省精神卫生中心
口腔科,10,河北医科大学口腔医院
口腔科,获提名,山西医科大学第一医院
口腔科,获提名,河北医科大学第一医院
口腔科,获提名,内蒙古自治区第三医院（脑科医院
口腔科,获提名,山西省精神卫生中心（太原市精神病医院
口腔科,获提名,山西医科大学口腔医院
口腔科,获提名,中国人民解放军总医院
口腔科,获提名,中国医学科学院北京协和医院
口腔科,获提名,内蒙古医科大学附属医院
口腔科,获提名,呼和浩特市口腔医院
泌尿外科,1,中国医学科学院北京协和医院
泌尿外科,2,中国人民解放军总医院
泌尿外科,3,北京大学第一医院
泌尿外科,4,天津医科大学总医院
泌尿外科,5,天津医科大学第二医院
泌尿外科,6,首都医科大学宣武医院
泌尿外科,7,北京大学第三医院
泌尿外科,8,北京大学人民医院
泌尿外科,9,天津市中西医结合医院（南开医院
泌尿外科,10,首都医科大学附属北京同仁医院
泌尿外科,获提名,河北医科大学第二医院
泌尿外科,获提名,河北医科大学第四医院暨河北省肿瘤医院
泌尿外科,获提名,山西医科大学第一医院
泌尿外科,获提名,河北医科大学第三医院
泌尿外科,获提名,中国医学科学院阜外医院
泌尿外科,获提名,首都医科大学附属北京安贞医院
泌尿外科,获提名,河北医科大学第一医院
泌尿外科,获提名,首都医科大学附属北京天坛医院
泌尿外科,获提名,内蒙古医科大学附属医院
泌尿外科,获提名,赤峰市医院
泌尿外科,获提名,河北省人民医院
泌尿外科,获提名,山西白求恩医院
泌尿外科,获提名,山西省肿瘤医院
泌尿外科,获提名,山西医科大学第二医院
泌尿外科,获提名,北京医院
泌尿外科,获提名,中国医学科学院肿瘤医院
泌尿外科,获提名,清华大学附属北京清华长庚医院
泌尿外科,获提名,山西省人民医院
皮肤科,1,中国医学科学院北京协和医院
皮肤科,2,北京大学第一医院
皮肤科,3,中国人民解放军总医院
皮肤科,4,天津医科大学总医院
皮肤科,5,北京大学人民医院
皮肤科,6,中日友好医院
皮肤科,7,北京医院
皮肤科,8,北京大学第三医院
皮肤科,9,天津医科大学朱宪彝纪念医院(代谢病医院
皮肤科,10,首都医科大学附属北京朝阳医院
皮肤科,获提名,河北医科大学第二医院
皮肤科,获提名,山西医科大学第一医院
皮肤科,获提名,内蒙古医科大学附属医院
皮肤科,获提名,河北省人民医院
皮肤科,获提名,中国人民解放军空军特色医学中心
皮肤科,获提名,首都医科大学附属北京儿童医院
皮肤科,获提名,天津市中医药研究院附属医院
皮肤科,获提名,内蒙古国际蒙医医院
皮肤科,获提名,河北医科大学第四医院暨河北省肿瘤医院
皮肤科,获提名,河北医科大学第一医院
皮肤科,获提名,清华大学附属北京清华长庚医院
皮肤科,获提名,华北理工大学附属医院
神经内科,1,中国医学科学院北京协和医院
神经内科,2,中国人民解放军总医院
神经内科,3,首都医科大学附属北京天坛医院
神经内科,4,北京大学人民医院
神经内科,5,首都医科大学宣武医院
神经内科,6,北京大学第一医院
神经内科,7,天津医科大学总医院
神经内科,8,首都医科大学附属北京友谊医院
神经内科,9,北京大学第三医院
神经内科,10,天津市肿瘤医院（天津医科大学肿瘤医院
神经内科,获提名,河北医科大学第一医院
神经内科,获提名,河北医科大学第二医院
神经内科,获提名,河北医科大学第四医院暨河北省肿瘤医院
神经内科,获提名,山西医科大学第一医院
神经内科,获提名,首都医科大学附属北京朝阳医院
神经内科,获提名,中日友好医院
神经内科,获提名,北京大学肿瘤医院
神经内科,获提名,天津市中西医结合医院（南开医院
神经内科,获提名,清华大学附属北京清华长庚医院
神经内科,获提名,山西白求恩医院
神经内科,获提名,中国医学科学院肿瘤医院
神经内科,获提名,包头市中心医院
神经内科,获提名,北京医院
神经外科,1,北京大学第一医院
神经外科,2,首都医科大学附属北京天坛医院
神经外科,3,中国人民解放军总医院
神经外科,4,首都医科大学宣武医院
神经外科,5,中国医学科学院北京协和医院
神经外科,6,天津医科大学总医院
神经外科,7,中日友好医院
神经外科,8,山西省人民医院
神经外科,9,北京大学人民医院
神经外科,10,内蒙古医科大学附属医院
神经外科,获提名,首都医科大学附属北京友谊医院
神经外科,获提名,北京大学第三医院
神经外科,获提名,山西医科大学第一医院
神经外科,获提名,河北医科大学第三医院
神经外科,获提名,河北医科大学第二医院
神经外科,获提名,山西医科大学第二医院
神经外科,获提名,北京医院
神经外科,获提名,天津医科大学第二医院
神经外科,获提名,内蒙古科技大学包头医学院第一附属医院
神经外科,获提名,天津市环湖医院
神经外科,获提名,首都医科大学三博脑科医院
神经外科,获提名,北京大学国际医院
神经外科,获提名,河北医科大学第一医院
小儿内科,1,中国医学科学院北京协和医院
小儿内科,2,首都医科大学附属北京儿童医院
小儿内科,3,中国人民解放军总医院
小儿内科,4,北京大学第一医院
小儿内科,5,首都医科大学附属北京友谊医院
小儿内科,6,北京大学第三医院
小儿内科,7,天津市儿童医院（天津大学儿童医院
小儿内科,8,天津医科大学总医院
小儿内科,9,河北省儿童医院
小儿内科,10,河北医科大学第二医院
小儿内科,获提名,北京大学人民医院
小儿内科,获提名,河北医科大学第一医院
小儿内科,获提名,内蒙古医科大学附属医院
小儿内科,获提名,山西医科大学第一医院
小儿内科,获提名,包头医学院第二附属医院
小儿内科,获提名,天津市第一中心医院
小儿内科,获提名,中日友好医院
小儿内科,获提名,山西省儿童医院（山西省妇幼保健院
小儿内科,获提名,北京军区总医院附属八一儿童医院
小儿内科,获提名,内蒙古自治区人民医院
小儿内科,获提名,首都医科大学附属北京同仁医院
小儿外科,1,首都医科大学附属北京儿童医院
小儿外科,2,中国医学科学院阜外医院
小儿外科,3,首都医科大学附属北京安贞医院
小儿外科,4,天津市儿童医院（天津大学儿童医院
小儿外科,5,北京大学第一医院
小儿外科,6,山西省儿童医院（山西省妇幼保健院
小儿外科,7,中国人民解放军总医院
小儿外科,8,河北医科大学第二医院
小儿外科,9,北京大学人民医院
小儿外科,10,河北省儿童医院
小儿外科,获提名,北京军区总医院附属八一儿童医院
胸外科,1,中国医学科学院阜外医院
胸外科,2,中国医学科学院肿瘤医院
胸外科,3,首都医科大学附属北京安贞医院
胸外科,4,北京大学人民医院
胸外科,5,天津市胸科医院
胸外科,6,河北医科大学第四医院暨河北省肿瘤医院
胸外科,7,中国人民解放军总医院
胸外科,8,天津市肿瘤医院（天津医科大学肿瘤医院
心血管病,1,中国人民解放军总医院
心血管病,1,北京大学肿瘤医院
心血管病,2,中国医学科学院北京协和医院
心血管病,3,中日友好医院
心血管病,4,天津市胸科医院
心血管病,5,天津医科大学总医院
心血管病,6,北京大学第一医院
眼科,1,北京大学人民医院
眼科,2,首都医科大学附属北京同仁医院
血液学,1,中国医学科学院北京协和医院
眼科,1,中国人民解放军总医院
眼科,2,北京大学人民医院
眼科,3,天津医科大学总医院
眼科,4,北京大学第三医院
眼科,5,山西医科大学第二医院
眼科,6,河北医科大学第二医院
眼科,7,首都医科大学附属北京友谊医院
眼科,8,北京大学第一医院
眼科,9,内蒙古医科大学附属医院
眼科,10,山西医科大学第一医院
眼科,获提名,河北燕达陆道培医院
眼科,获提名,北京陆道培医院
眼科,获提名,河北医科大学第一医院
眼科,获提名,首都医科大学附属北京朝阳医院
眼科,获提名,中日友好医院
整形外科,1,中国医学科学院肿瘤医院
整形外科,2,中国医学科学院北京协和医院
整形外科,3,北京大学肿瘤医院
整形外科,4,北京大学第三医院
整形外科,5,天津市肿瘤医院（天津医科大学肿瘤医院
整形外科,6,中国人民解放军总医院
整形外科,7,河北医科大学第四医院暨河北省肿瘤医院
整形外科,8,首都医科大学附属北京朝阳医院
整形外科,1,山西省肿瘤医院
整形外科,2,中国人民解放军总医院
整形外科,3,北京大学第三医院
整形外科,4,北京大学人民医院
整形外科,5,天津医科大学总医院
整形外科,6,内蒙古自治区肿瘤医院（内蒙古医科大学附属人民医院
康复医学,1,北京医院
康复医学,2,中国康复研究中心
康复医学,3,中国人民解放军总医院
康复医学,4,北京大学第三医院
康复医学,5,中国医学科学院北京协和医院
康复医学,6,首都医科大学宣武医院
康复医学,7,天津医科大学总医院
康复医学,8,中日友好医院
康复医学,9,北京大学第一医院
康复医学,10,山西医科大学第一医院
康复医学,获提名,河北省人民医院
康复医学,获提名,天津医科大学第二医院
康复医学,获提名,内蒙古自治区人民医院
康复医学,获提名,河北医科大学第一医院
康复医学,获提名,内蒙古医科大学附属医院
康复医学,获提名,山西白求恩医院
康复医学,获提名,首都医科大学附属北京康复医院
康复医学,获提名,天津市环湖医院
康复医学,获提名,河北医科大学第二医院
康复医学,获提名,清华大学附属北京清华长庚医院
康复医学,获提名,包头市中心医院
康复医学,获提名,河北医科大学第三医院
康复医学,获提名,天津中医药大学第一附属医院
烧伤科,1,中国医学科学院北京协和医院
烧伤科,2,中国人民解放军总医院
烧伤科,3,北京积水潭医院
烧伤科,4,北京大学人民医院
烧伤科,5,山西省烧伤救治中心（太钢总医院烧伤整形中心
烧伤科,6,天津医科大学总医院
烧伤科,7,南开大学附属医院
烧伤科,8,首都医科大学宣武医院
烧伤科,9,河北医科大学第三医院
烧伤科,10,中国医学科学院肿瘤医院
烧伤科,获提名,北京大学第三医院
烧伤科,获提名,北京大学第一医院
烧伤科,获提名,首都医科大学附属北京朝阳医院
烧伤科,获提名,河北医科大学第二医院
烧伤科,获提名,内蒙古自治区人民医院
烧伤科,获提名,天津市第一中心医院
烧伤科,获提名,首都医科大学附属北京天坛医院
烧伤科,获提名,中日友好医院
烧伤科,获提名,内蒙古医科大学附属医院
烧伤科,获提名,天津市肿瘤医院（天津医科大学肿瘤医院
烧伤科,获提名,河北医科大学第一医院
烧伤科,获提名,首都医科大学附属北京世纪坛医院（北京铁路总医院
烧伤科,获提名,北京医院
烧伤科,获提名,山西医科大学第一医院
烧伤科,获提名,中国医学科学院阜外医院
烧伤科,获提名,内蒙古包钢医院
烧伤科,获提名,中国人民武装警察部队特色医学中心
烧伤科,获提名,山西白求恩医院
烧伤科,获提名,中国人民解放军联勤保障部队第980医院
烧伤科,获提名,首都医科大学附属北京儿童医院
烧伤科,获提名,北京大学首钢医院
超声医学,1,中国医学科学院北京协和医院
超声医学,2,中国人民解放军总医院
超声医学,3,山西医科大学第一医院
超声医学,4,北京大学第三医院
超声医学,5,天津医科大学总医院
超声医学,6,首都医科大学附属北京天坛医院
超声医学,7,内蒙古医科大学附属医院
超声医学,8,北京大学肿瘤医院
超声医学,9,北京大学第一医院
超声医学,10,河北医科大学第四医院暨河北省肿瘤医院
超声医学,获提名,首都医科大学附属北京友谊医院
超声医学,获提名,北京医院
超声医学,获提名,首都医科大学附属北京安贞医院
超声医学,获提名,北京大学人民医院
超声医学,获提名,中国医学科学院阜外医院
超声医学,获提名,首都医科大学附属北京朝阳医院
超声医学,获提名,天津市第三中心医院
超声医学,获提名,河北省人民医院
超声医学,获提名,首都医科大学附属北京妇产医院
超声医学,获提名,中日友好医院
超声医学,获提名,河北医科大学第二医院
超声医学,获提名,河北医科大学第一医院
超声医学,获提名,内蒙古自治区人民医院
超声医学,获提名,山西白求恩医院
超声医学,获提名,山西省人民医院
超声医学,获提名,首都医科大学附属北京儿童医院
超声医学,获提名,首都医科大学宣武医院
超声医学,获提名,山西医科大学第二医院
超声医学,获提名,天津市天津医院
超声医学,获提名,天津医科大学第二医院
超声医学,获提名,天津市第一中心医院
超声医学,获提名,首都医科大学附属复兴医院
超声医学,获提名,首都医科大学附属北京世纪坛医院（北京铁路总医院
超声医学,获提名,山西省儿童医院（山西省妇幼保健院
超声医学,获提名,北京积水潭医院
妇产科,1,中国医学科学院北京协和医院
妇产科,2,中国人民解放军总医院
妇产科,3,首都医科大学附属北京同仁医院
妇产科,4,天津医科大学总医院
妇产科,5,首都医科大学附属北京世纪坛医院（北京铁路总医院
妇产科,6,首都医科大学宣武医院
妇产科,7,山西白求恩医院
妇产科,8,北京大学第三医院
妇产科,9,首都医科大学附属北京儿童医院
妇产科,10,呼和浩特市第一医院
妇产科,获提名,天津市第一中心医院
妇产科,获提名,内蒙古医科大学附属医院
妇产科,获提名,山西医科大学第一医院
妇产科,获提名,山西医科大学第二医院
妇产科,获提名,北京大学第一医院
妇产科,获提名,中日友好医院
妇产科,获提名,北京大学人民医院
妇产科,获提名,河北医科大学第二医院
妇产科,获提名,北京市体检中心
妇产科,获提名,首都医科大学附属北京安贞医院
妇产科,获提名,中国人民解放军联勤保障部队第980医院
妇产科,获提名,北京医院
妇产科,获提名,山西省人民医院
妇产科,获提名,河北医科大学第一医院
妇产科,获提名,首都医科大学附属北京胸科医院
妇产科,获提名,首都医科大学附属复兴医院
妇产科,获提名,天津市海河医院
妇产科,获提名,河北省胸科医院
妇产科,获提名,首都医科大学附属北京天坛医院
妇产科,获提名,太原市第四人民医院
妇产科,获提名,内蒙古自治区第四医院
妇产科,获提名,清华大学附属北京清华长庚医院
妇产科,获提名,包头医学院第一附属医院
妇产科,获提名,长治市人民医院
妇产科,获提名,首都医科大学附属北京朝阳医院
妇产科,获提名,北京积水潭医院
妇产科,获提名,天津市天津医院
妇产科,获提名,河北医科大学第三医院
妇产科,获提名,天津医科大学第二医院
妇产科,获提名,河北医科大学第四医院暨河北省肿瘤医院
妇产科,获提名,天津市肿瘤医院（天津医科大学肿瘤医院
妇产科,获提名,内蒙古自治区人民医院
妇产科,获提名,中国中医科学院望京医院
妇产科,获提名,天津市儿童医院（天津大学儿童医院
心血管病,1,版权声明:本排行榜的版权属于【复旦大学医院
心血管病,2,未经复旦大学医院
心血管病,3,沪ICP备2023031494号版权所有 复旦大学医院
心血管病,4,地址:上海市徐汇区医学院
