科室,排名,医院名称
泌尿外科,1,郑州大学第一附属医院
泌尿外科,2,华中科技大学同济医学院附属同济医院
泌尿外科,3,中南大学湘雅医院
泌尿外科,4,华中科技大学同济医学院附属协和医院
泌尿外科,5,中南大学湘雅二医院
泌尿外科,6,河南省人民医院
泌尿外科,7,中南大学湘雅三医院
泌尿外科,8,武汉大学人民医院
泌尿外科,9,武汉大学中南医院
泌尿外科,10,湖南省人民医院（湖南师范大学附属第一医院
泌尿外科,获提名,中国人民解放军中部战区总医院
泌尿外科,获提名,郑州大学第二附属医院
皮肤科,1,中南大学湘雅二医院
皮肤科,2,中南大学湘雅医院
皮肤科,3,华中科技大学同济医学院附属协和医院
皮肤科,4,郑州大学第一附属医院
皮肤科,5,华中科技大学同济医学院附属同济医院
皮肤科,6,武汉市第一医院（武汉市中西医结合医院
皮肤科,7,河南省人民医院
皮肤科,8,中国人民解放军中部战区总医院
皮肤科,9,武汉大学人民医院
皮肤科,10,武汉大学中南医院
皮肤科,获提名,郑州颐和医院
皮肤科,获提名,中南大学湘雅三医院
神经内科,1,华中科技大学同济医学院附属同济医院
神经内科,2,中南大学湘雅医院
神经内科,3,华中科技大学同济医学院附属协和医院
神经内科,4,郑州大学第一附属医院
神经内科,5,中南大学湘雅二医院
神经内科,6,河南省人民医院
神经内科,7,湖南省人民医院（湖南师范大学附属第一医院
神经内科,8,武汉大学中南医院
神经内科,9,武汉大学人民医院
神经内科,10,中南大学湘雅三医院
神经外科,1,郑州大学第一附属医院
神经外科,2,中南大学湘雅医院
神经外科,3,中南大学湘雅二医院
神经外科,4,华中科技大学同济医学院附属同济医院
神经外科,5,华中科技大学同济医学院附属协和医院
神经外科,6,武汉大学人民医院
神经外科,7,河南省人民医院
神经外科,8,中南大学湘雅三医院
神经外科,9,湖南省人民医院（湖南师范大学附属第一医院
神经外科,10,武汉市第一医院（武汉市中西医结合医院
神经外科,获提名,武汉大学中南医院
神经外科,获提名,中国人民解放军中部战区总医院
神经外科,获提名,郑州大学第五附属医院
小儿内科,1,华中科技大学同济医学院附属协和医院
小儿内科,2,华中科技大学同济医学院附属同济医院
小儿内科,3,湖南省儿童医院
小儿内科,4,郑州大学第一附属医院
小儿内科,5,中南大学湘雅医院
小儿内科,6,武汉市妇女儿童医疗保健中心
小儿内科,7,武汉大学人民医院
小儿内科,8,中南大学湘雅二医院
小儿内科,9,中南大学湘雅三医院
小儿内科,10,河南省人民医院
小儿内科,获提名,武汉大学中南医院
小儿内科,获提名,湖南省人民医院（湖南师范大学附属第一医院
小儿内科,获提名,河南省儿童医院
小儿内科,获提名,湖南省妇幼保健院
小儿内科,获提名,郑州大学第三附属医院
小儿外科,1,华中科技大学同济医学院附属同济医院
小儿外科,2,华中科技大学同济医学院附属协和医院
小儿外科,3,湖南省儿童医院
小儿外科,4,中南大学湘雅二医院
小儿外科,5,郑州大学第一附属医院
小儿外科,6,武汉大学人民医院
小儿外科,7,武汉市妇女儿童医疗保健中心
小儿外科,8,河南省儿童医院
小儿外科,9,郑州大学第三附属医院
小儿外科,10,中南大学湘雅医院
胸外科,1,华中科技大学同济医学院附属协和医院
胸外科,2,华中科技大学同济医学院附属同济医院
胸外科,3,中南大学湘雅二医院
胸外科,4,郑州大学第一附属医院
胸外科,5,武汉亚洲心脏病医院
心血管病,1,中南大学湘雅医院
心血管病,2,华中科技大学同济医学院附属同济医院
心血管病,3,河南省胸科医院
心血管病,4,河南省人民医院
心血管病,5,武汉大学中南医院
心血管病,6,武汉大学人民医院
心血管病,7,河南省肿瘤医院(郑州大学附属肿瘤医院
心血管病,8,湖南省肿瘤医院
心血管病,9,河南大学第一附属医院
眼科,1,华中科技大学同济医学院附属协和医院
眼科,2,中南大学湘雅二医院
眼科,3,郑州大学第一附属医院
眼科,4,华中科技大学同济医学院附属同济医院
眼科,5,河南省人民医院
眼科,6,中南大学湘雅医院
眼科,7,河南省肿瘤医院(郑州大学附属肿瘤医院
眼科,8,中南大学湘雅三医院
眼科,9,河南科技大学第一附属医院
肿瘤学,1,华中科技大学同济医学院附属协和医院
肿瘤学,2,河南省肿瘤医院(郑州大学附属肿瘤医院
肿瘤学,3,郑州大学第一附属医院
肿瘤学,4,中南大学湘雅医院
肿瘤学,5,华中科技大学同济医学院附属同济医院
肿瘤学,6,湖南省肿瘤医院
肿瘤学,7,武汉大学人民医院
肿瘤学,8,湖北省肿瘤医院
肿瘤学,9,中南大学湘雅二医院
肿瘤学,10,湖南省人民医院（湖南师范大学附属第一医院
肿瘤学,获提名,中南大学湘雅三医院
肿瘤学,获提名,河南省人民医院
肿瘤学,获提名,郑州大学第五附属医院
肿瘤学,获提名,武汉大学中南医院
肿瘤学,获提名,武汉市第三医院暨武汉大学附属同仁医院
康复医学,1,华中科技大学同济医学院附属同济医院
康复医学,2,中南大学湘雅医院
康复医学,3,中南大学湘雅二医院
康复医学,4,华中科技大学同济医学院附属协和医院
康复医学,5,郑州大学第五附属医院
康复医学,6,郑州大学第一附属医院
康复医学,7,武汉大学中南医院
康复医学,8,河南省人民医院
康复医学,9,郑州市第九人民医院
康复医学,10,中国人民解放军中部战区总医院
康复医学,获提名,河南中医药大学第一附属医院（河南省中西医结合儿童医院
康复医学,获提名,河南省中西医结合康复医院
康复医学,获提名,湖北省中西医结合医院（湖北省新华医院
康复医学,获提名,武汉大学人民医院
康复医学,获提名,湖南省人民医院（湖南师范大学附属第一医院
康复医学,获提名,中南大学湘雅三医院
康复医学,获提名,湘雅博爱康复医院
康复医学,获提名,新乡医学院第一附属医院
烧伤科,1,郑州大学第一附属医院
烧伤科,2,武汉市第三医院暨武汉大学附属同仁医院
烧伤科,3,华中科技大学同济医学院附属同济医院
烧伤科,4,郑州市第一人民医院
烧伤科,5,华中科技大学同济医学院附属协和医院
烧伤科,6,中南大学湘雅医院
烧伤科,7,中南大学湘雅二医院
烧伤科,8,中国人民解放军联勤保障部队第990医院
烧伤科,9,武汉大学人民医院
烧伤科,10,中南大学湘雅三医院
烧伤科,获提名,河南省人民医院
烧伤科,获提名,武汉大学中南医院
烧伤科,获提名,郑州大学第三附属医院
烧伤科,获提名,湖南中医药大学第一附属医院
烧伤科,获提名,新乡市第二人民医院
烧伤科,获提名,南华大学附属第一医院
烧伤科,获提名,河南科技大学第一附属医院
烧伤科,获提名,南阳南石医院
烧伤科,获提名,湖南省人民医院（湖南师范大学附属第一医院
烧伤科,获提名,黄石市第五医院
超声医学,1,华中科技大学同济医学院附属协和医院
超声医学,2,郑州大学第一附属医院
超声医学,3,华中科技大学同济医学院附属同济医院
超声医学,4,河南省人民医院
超声医学,5,中南大学湘雅医院
超声医学,6,河南省肿瘤医院(郑州大学附属肿瘤医院
超声医学,7,中南大学湘雅二医院
超声医学,8,武汉大学中南医院
超声医学,9,湖南省肿瘤医院
超声医学,10,武汉大学人民医院
超声医学,获提名,中南大学湘雅三医院
超声医学,获提名,湖南省人民医院（湖南师范大学附属第一医院
超声医学,获提名,中国人民解放军中部战区总医院
超声医学,获提名,郑州市第一人民医院
超声医学,获提名,长沙市中心医院(南华大学附属长沙中心医院
超声医学,获提名,南华大学附属南华医院
超声医学,获提名,郑州大学第二附属医院
超声医学,获提名,南华大学附属第一医院
超声医学,获提名,宜昌市中心人民医院
超声医学,获提名,中信湘雅生殖与遗传专科医院
超声医学,获提名,郑州大学第三附属医院
超声医学,获提名,武汉华科生殖专科医院
心血管病,1,华中科技大学同济医学院附属协和医院
心血管病,2,湖南省儿童医院
心血管病,3,中南大学湘雅医院
心血管病,4,中南大学湘雅二医院
心血管病,5,河南省儿童医院
心血管病,6,中南大学湘雅三医院
骨科,1,武汉市肺科医院
骨科,2,河南省人民医院
骨科,3,河南省胸科医院
骨科,4,湖南省人民医院（湖南师范大学附属第一医院
骨科,5,武汉市金银潭医院
骨科,6,中南大学湘雅三医院
骨科,7,湖南省结核病防治所(湖南省胸科医院
骨科,8,郑州大学第一附属医院
骨科,9,长沙市中心医院(南华大学附属长沙中心医院
骨科,10,中南大学湘雅医院
骨科,获提名,河南省传染病医院（郑州市第六人民医院
骨科,获提名,华中科技大学同济医学院附属同济医院
骨科,获提名,中南大学湘雅二医院
骨科,获提名,新乡医学院第一附属医院
骨科,获提名,武汉市中心医院
骨科,获提名,武汉大学中南医院
骨科,获提名,华中科技大学同济医学院附属协和医院
骨科,获提名,河南科技大学第一附属医院
骨科,获提名,武汉大学人民医院
骨科,1,华中科技大学同济医学院附属协和医院
骨科,2,中南大学湘雅二医院
骨科,3,郑州大学第一附属医院
骨科,4,中南大学湘雅三医院
骨科,5,湖南省人民医院（湖南师范大学附属第一医院
骨科,6,武汉市第四医院
骨科,7,中南大学湘雅医院
骨科,8,湖北省第三人民医院(湖北省中山医院
骨科,9,华中科技大学同济医学院附属同济医院
骨科,10,武汉市中心医院
骨科,获提名,郑州大学第二附属医院
骨科,获提名,河南省肿瘤医院(郑州大学附属肿瘤医院
骨科,获提名,武汉大学人民医院
骨科,1,华中科技大学同济医学院附属同济医院
骨科,2,中南大学湘雅医院
骨科,3,郑州大学第一附属医院
骨科,4,华中科技大学同济医学院附属协和医院
骨科,5,中南大学湘雅二医院
骨科,6,河南省人民医院
骨科,7,中南大学湘雅三医院
骨科,8,武汉大学人民医院
骨科,9,武汉市妇女儿童医疗保健中心
骨科,10,版权声明:本排行榜的版权属于【复旦大学医院
骨科,获提名,未经复旦大学医院
骨科,获提名,沪ICP备2023031494号版权所有 复旦大学医院
骨科,获提名,地址:上海市徐汇区医学院
